,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
6390,FF,20161001,95.5,-1.8,5.63,197.0,641958,606930,field_out,hit_into_play,6.0,L,R,COL,MIL,X,9.0,line_drive,0.8,2.58,Roberto Ortiz,-0.298
6391,FF,20161001,94.4,-1.87,5.73,165.0,641958,606930,,ball,12.0,L,R,COL,MIL,B,,,1.12,4.18,Roberto Ortiz,0.032
6392,SL,20161001,87.2,-2.33,5.69,101.0,641958,606930,,called_strike,1.0,L,R,COL,MIL,S,,,-0.56,2.81,Roberto Ortiz,-0.048
6393,SL,20161001,86.8,-2.3,5.69,124.0,621311,606930,strikeout,swinging_strike,7.0,L,R,COL,MIL,S,2.0,,-0.61,2.04,Roberto Ortiz,-0.307
6394,SL,20161001,87.5,-2.45,5.74,132.0,621311,606930,,ball,11.0,L,R,COL,MIL,B,,,-1.32,2.72,Roberto Ortiz,0.055
6395,SL,20161001,88.6,-2.27,5.66,120.0,621311,606930,,foul,5.0,L,R,COL,MIL,S,,,-0.27,2.64,Roberto Ortiz,0.0
6396,FF,20161001,94.1,-2.19,5.72,184.0,621311,606930,,ball,11.0,L,R,COL,MIL,B,,,-0.07,5.17,Roberto Ortiz,0.013
6397,FF,20161001,95.4,-2.12,5.64,160.0,621311,606930,,swinging_strike,1.0,L,R,COL,MIL,S,,,-0.33,3.26,Roberto Ortiz,-0.067
6398,SL,20161001,88.3,-2.08,5.42,149.0,621311,606930,,swinging_strike,14.0,L,R,COL,MIL,S,,,0.88,0.07,Roberto Ortiz,-0.052
6399,FF,20161001,97.9,-1.83,5.65,204.0,471865,606930,single,hit_into_play,6.0,L,R,COL,MIL,X,7.0,line_drive,0.74,2.44,Roberto Ortiz,0.223
6400,FF,20161001,97.4,-1.89,5.67,186.0,471865,606930,,ball,12.0,L,R,COL,MIL,B,,,1.25,2.89,Roberto Ortiz,0.028
6401,SL,20161001,89.9,-1.97,5.73,151.0,571448,606930,strikeout,swinging_strike,2.0,R,R,COL,MIL,S,2.0,,0.1,3.16,Roberto Ortiz,-0.208
6402,SL,20161001,90.9,-1.89,5.88,158.0,571448,606930,,ball,12.0,R,R,COL,MIL,B,,,0.96,4.94,Roberto Ortiz,0.04
6403,SL,20161001,90.5,-1.95,5.7,143.0,571448,606930,,swinging_strike,14.0,R,R,COL,MIL,S,,,1.56,1.45,Roberto Ortiz,-0.057
6404,SL,20161001,90.1,-2.05,5.79,133.0,571448,606930,,ball,2.0,R,R,COL,MIL,B,,,-0.16,3.41,Roberto Ortiz,0.025
6405,SL,20161001,90.3,-2.17,5.79,84.0,571448,606930,,called_strike,6.0,R,R,COL,MIL,S,,,0.81,2.76,Roberto Ortiz,-0.037
6406,,20161001,82.9,-5.11,5.48,79.0,541650,493603,strikeout,swinging_strike_blocked,14.0,R,R,COL,MIL,S,2.0,,0.61,0.22,Roberto Ortiz,-0.071
6407,FT,20161001,95.0,-2.59,5.18,234.0,541650,493603,,ball,14.0,R,R,COL,MIL,B,,,2.58,0.67,Roberto Ortiz,0.008
6408,FF,20161001,96.1,-4.33,5.43,184.0,541650,493603,,foul,11.0,R,R,COL,MIL,S,,,-1.04,2.75,Roberto Ortiz,0.0
6409,SL,20161001,82.6,-4.57,5.34,59.0,541650,493603,,foul,9.0,R,R,COL,MIL,S,,,0.6,2.16,Roberto Ortiz,-0.024
