,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
67890,FS,20200912,81.1,-1.43,6.2,239.0,641796,673633,field_out,hit_into_play,5.0,R,R,ARI,SEA,X,5.0,ground_ball,0.02,2.35,Nestor Ceja,-0.232
67891,FF,20200912,88.9,-1.35,6.23,214.0,641796,673633,,foul,5.0,R,R,ARI,SEA,S,,,0.09,2.34,Nestor Ceja,-0.052
67892,FF,20200912,91.0,-1.44,6.23,212.0,641796,673633,,ball,12.0,R,R,ARI,SEA,B,,,0.28,3.61,Nestor Ceja,0.033
67893,FS,20200912,82.9,-1.48,6.23,243.0,656976,673633,single,hit_into_play,13.0,L,R,ARI,SEA,X,8.0,ground_ball,-0.85,2.41,Nestor Ceja,0.143
67894,FF,20200912,90.8,-1.44,6.34,214.0,656976,673633,,called_strike,7.0,L,R,ARI,SEA,S,,,-0.67,1.95,Nestor Ceja,-0.022
67895,FS,20200912,82.9,-1.68,6.15,242.0,656976,673633,,ball,13.0,L,R,ARI,SEA,B,,,-0.8,1.07,Nestor Ceja,0.018
67896,FS,20200912,82.3,-1.48,6.27,238.0,608348,673633,field_out,hit_into_play,5.0,R,R,ARI,SEA,X,7.0,fly_ball,-0.15,2.71,Nestor Ceja,-0.168
67897,FS,20200912,82.1,-1.43,6.3,241.0,642165,673633,field_out,hit_into_play,7.0,L,R,ARI,SEA,X,5.0,ground_ball,-0.65,1.83,Nestor Ceja,-0.241
67898,FF,20200912,89.3,-1.24,6.48,203.0,642165,673633,,ball,11.0,L,R,ARI,SEA,B,,,-0.44,4.47,Nestor Ceja,0.032
67899,FF,20200912,90.7,-1.56,6.29,219.0,642165,673633,,foul,3.0,L,R,ARI,SEA,S,,,0.31,2.87,Nestor Ceja,-0.042
67900,FF,20200912,95.7,-1.94,5.85,209.0,572122,606303,field_out,hit_into_play,5.0,L,R,ARI,SEA,X,8.0,fly_ball,0.15,2.55,Nestor Ceja,-0.37
67901,FF,20200912,95.6,-1.93,5.95,210.0,572122,606303,,ball,12.0,L,R,ARI,SEA,B,,,0.95,2.63,Nestor Ceja,0.01
