,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
129830,SL,20200828,84.2,-1.12,5.27,89.0,605141,606160,strikeout,swinging_strike,4.0,R,R,TEX,LAD,S,2.0,,-0.31,2.28,Nate Tomlinson,-0.078
129831,FF,20200828,95.7,-0.99,5.46,216.0,605141,606160,,foul,6.0,R,R,TEX,LAD,S,,,0.66,2.39,Nate Tomlinson,0.0
129832,SI,20200828,94.6,-1.23,5.32,205.0,605141,606160,,called_strike,2.0,R,R,TEX,LAD,S,,,0.06,2.63,Nate Tomlinson,-0.029
129833,SL,20200828,84.1,-1.2,5.19,92.0,605141,606160,,ball,14.0,R,R,TEX,LAD,B,,,0.42,0.48,Nate Tomlinson,0.013
129834,SI,20200828,95.9,-1.16,5.41,218.0,605141,606160,,called_strike,2.0,R,R,TEX,LAD,S,,,0.16,3.15,Nate Tomlinson,-0.017
129835,CH,20200828,87.6,-1.3,5.06,228.0,592626,606160,field_out,hit_into_play,7.0,L,R,TEX,LAD,X,4.0,ground_ball,-0.38,1.88,Nate Tomlinson,-0.103
129836,FF,20200828,95.7,-1.15,5.42,216.0,592626,606160,,called_strike,9.0,L,R,TEX,LAD,S,,,0.39,1.94,Nate Tomlinson,-0.039
129837,CH,20200828,88.2,-1.25,5.11,227.0,592626,606160,,called_strike,4.0,L,R,TEX,LAD,S,,,-0.37,2.49,Nate Tomlinson,-0.026
129838,FF,20200828,94.6,-1.12,5.34,218.0,669257,606160,strikeout,called_strike,12.0,R,R,TEX,LAD,S,2.0,,0.79,3.28,Nate Tomlinson,-0.153
129839,SL,20200828,83.5,-1.47,5.17,92.0,669257,606160,,foul,5.0,R,R,TEX,LAD,S,,,0.12,2.48,Nate Tomlinson,-0.056
129840,FF,20200828,93.9,-1.31,5.32,224.0,669257,606160,,foul,1.0,R,R,TEX,LAD,S,,,-0.71,2.85,Nate Tomlinson,-0.042
129841,SL,20200828,86.5,-2.43,5.87,172.0,425783,669952,strikeout,swinging_strike,14.0,L,R,TEX,LAD,S,2.0,,0.42,1.24,Nate Tomlinson,-0.471
129842,SL,20200828,87.1,-2.46,5.94,170.0,425783,669952,,ball,12.0,L,R,TEX,LAD,B,,,0.23,3.52,Nate Tomlinson,0.099
129843,SL,20200828,87.2,-2.51,5.93,172.0,425783,669952,,foul,9.0,L,R,TEX,LAD,S,,,0.51,2.02,Nate Tomlinson,-0.113
129844,FF,20200828,93.0,-2.53,6.07,202.0,425783,669952,,ball,11.0,L,R,TEX,LAD,B,,,-1.01,4.51,Nate Tomlinson,0.058
129845,CU,20200828,80.3,-2.37,5.99,24.0,425783,669952,,blocked_ball,14.0,L,R,TEX,LAD,B,,,0.66,0.91,Nate Tomlinson,0.038
129846,SL,20200828,88.0,-2.4,5.97,176.0,425783,669952,,called_strike,2.0,L,R,TEX,LAD,S,,,0.09,3.27,Nate Tomlinson,-0.086
129847,FF,20200828,93.9,-2.25,6.09,202.0,665750,669952,walk,ball,11.0,L,R,TEX,LAD,B,,,-1.23,3.61,Nate Tomlinson,0.144
129848,CU,20200828,81.9,-2.5,5.9,26.0,665750,669952,,blocked_ball,14.0,L,R,TEX,LAD,B,,,1.17,0.57,Nate Tomlinson,0.081
129849,SI,20200828,93.8,-2.43,5.98,207.0,665750,669952,,called_strike,7.0,L,R,TEX,LAD,S,,,-0.7,1.85,Nate Tomlinson,-0.092
129850,SI,20200828,92.5,-2.4,6.01,203.0,665750,669952,,swinging_strike,1.0,L,R,TEX,LAD,S,,,-0.58,3.28,Nate Tomlinson,-0.078
129851,SI,20200828,93.7,-2.47,5.94,210.0,665750,669952,,ball,13.0,L,R,TEX,LAD,B,,,-1.87,1.86,Nate Tomlinson,0.06
