,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp,prox_x,prox_z,prox_pos_x,prox_pos_z,call
0,0,0,0,0,92531,CH,20200905,75.4,-2.61,6.04,269.0,572228,491624,force_out,hit_into_play,9.0,R,R,BAL,NYY,X,6.0,ground_ball,0.37,2.15,Jose Navas,-0.466,0.63,0.6499999999999999,in,in,r
1,1,1,1,1,92532,FF,20200905,93.3,2.84,5.48,137.0,543305,643316,field_out,hit_into_play,8.0,R,L,BAL,NYY,X,8.0,line_drive,-0.26,1.85,Jose Navas,-0.537,0.74,0.3500000000000001,in,in,r
2,2,2,2,2,92533,FF,20200905,92.9,2.87,5.5,133.0,543305,643316,,ball,14.0,R,L,BAL,NYY,B,,,1.45,2.29,Jose Navas,0.079,0.4499999999999999,0.79,out,in,r
3,3,3,3,3,92534,FF,20200905,92.1,2.87,5.48,133.0,543305,643316,,swinging_strike,6.0,R,L,BAL,NYY,S,,,0.29,2.75,Jose Navas,-0.061,0.71,0.75,in,in,r
4,4,4,4,4,92535,FF,20200905,93.1,2.91,5.54,137.0,543305,643316,,ball,14.0,R,L,BAL,NYY,B,,,2.06,2.11,Jose Navas,0.056,1.06,0.6099999999999999,out,in,r
5,5,5,5,5,92536,SL,20200905,85.1,3.0,5.35,326.0,518934,643316,strikeout,swinging_strike_blocked,13.0,R,L,BAL,NYY,S,2.0,,-0.7,0.9,Jose Navas,-0.538,0.3,0.6,in,out,r
6,6,6,6,6,92537,FF,20200905,92.7,2.9,5.5,131.0,518934,643316,,foul,7.0,R,L,BAL,NYY,S,,,-0.32,1.73,Jose Navas,-0.149,0.6799999999999999,0.2299999999999999,in,in,r
7,7,7,7,7,92538,FF,20200905,92.8,2.93,5.51,131.0,518934,643316,,swinging_strike,5.0,R,L,BAL,NYY,S,,,-0.1,2.3,Jose Navas,-0.207,0.9,0.7999999999999998,in,in,r
8,8,8,8,8,92539,FF,20200905,93.2,2.82,5.48,133.0,518934,643316,,blocked_ball,13.0,R,L,BAL,NYY,B,,,-1.53,0.47,Jose Navas,0.226,0.53,1.03,out,out,r
9,9,9,9,9,92540,FF,20200905,93.7,2.88,5.48,129.0,518934,643316,,blocked_ball,14.0,R,L,BAL,NYY,B,,,0.25,0.16,Jose Navas,0.092,0.75,1.34,in,out,r
10,10,10,10,10,92541,FF,20200905,91.6,2.81,5.59,137.0,642731,643316,single,hit_into_play,5.0,R,L,BAL,NYY,X,8.0,ground_ball,-0.21,2.39,Jose Navas,0.656,0.79,0.8900000000000001,in,in,r
11,11,11,11,11,92542,FF,20200905,92.9,2.86,5.52,137.0,642731,643316,,ball,12.0,R,L,BAL,NYY,B,,,1.21,2.62,Jose Navas,0.039,0.2099999999999999,0.8799999999999999,out,in,r
12,12,12,12,12,92543,FF,20200905,91.2,2.95,5.51,130.0,543309,643316,single,hit_into_play,3.0,R,L,BAL,NYY,X,7.0,ground_ball,0.63,3.2,Jose Navas,0.356,0.37,0.2999999999999998,in,in,r
13,13,13,13,13,92544,FF,20200905,90.6,2.83,5.52,138.0,543309,643316,,ball,11.0,R,L,BAL,NYY,B,,,-1.78,2.97,Jose Navas,0.051,0.78,0.5299999999999998,out,in,r
14,14,14,14,14,92545,FF,20200905,91.8,2.88,5.48,137.0,543309,643316,,foul,8.0,R,L,BAL,NYY,S,,,-0.1,1.99,Jose Navas,-0.05,0.9,0.49,in,in,r
15,15,15,15,15,92546,SL,20200905,83.5,2.96,5.55,325.0,543309,643316,,ball,13.0,R,L,BAL,NYY,B,,,-1.45,1.64,Jose Navas,0.041,0.4499999999999999,0.1399999999999999,out,in,r
16,16,16,16,16,92547,CH,20200905,90.4,-1.28,6.07,227.0,547004,664337,strikeout,foul_tip,14.0,L,R,BAL,NYY,S,2.0,,0.02,1.15,Jose Navas,-0.096,0.98,0.3500000000000001,in,out,r
17,17,17,17,17,92548,FC,20200905,90.2,-1.09,6.28,206.0,547004,664337,,foul,12.0,L,R,BAL,NYY,S,,,0.8,3.75,Jose Navas,-0.032,0.1999999999999999,0.25,in,out,r
18,18,18,18,18,92549,CH,20200905,88.6,-1.25,6.15,224.0,547004,664337,,swinging_strike,7.0,L,R,BAL,NYY,S,,,-0.36,2.03,Jose Navas,-0.028,0.64,0.5299999999999998,in,in,r
19,19,19,19,19,92550,CH,20200905,87.9,-1.35,6.12,225.0,547004,664337,,ball,11.0,L,R,BAL,NYY,B,,,-1.0,2.98,Jose Navas,0.027,0.0,0.52,in,in,w
20,20,20,20,20,92551,CU,20200905,77.3,-1.24,6.28,24.0,547004,664337,,ball,14.0,L,R,BAL,NYY,B,,,0.46,1.2,Jose Navas,0.018,0.54,0.3,in,out,r
21,21,21,21,21,92552,CH,20200905,88.8,-1.21,6.25,226.0,663624,664337,field_out,hit_into_play,8.0,R,R,BAL,NYY,X,6.0,ground_ball,-0.23,1.97,Jose Navas,-0.195,0.77,0.47,in,in,r
22,22,22,22,22,92553,FC,20200905,88.8,-1.3,6.31,188.0,663624,664337,,foul,6.0,R,R,BAL,NYY,S,,,0.34,2.93,Jose Navas,-0.039,0.6599999999999999,0.5699999999999998,in,in,r
23,23,23,23,23,92554,FC,20200905,88.6,-1.11,6.29,198.0,663624,664337,,ball,14.0,R,R,BAL,NYY,B,,,1.6,2.05,Jose Navas,0.04,0.6000000000000001,0.5499999999999998,out,in,r
24,24,24,24,24,92555,CU,20200905,79.4,-1.06,6.38,20.0,663624,664337,,ball,12.0,R,R,BAL,NYY,B,,,0.18,3.84,Jose Navas,0.027,0.8200000000000001,0.3399999999999998,in,out,r
25,25,25,25,25,92556,CH,20200905,89.6,-1.0,6.17,226.0,600474,664337,field_out,hit_into_play,6.0,R,R,BAL,NYY,X,6.0,ground_ball,0.46,2.37,Jose Navas,-0.18,0.54,0.8700000000000001,in,in,r
26,26,26,26,26,92557,CU,20200905,79.6,-1.02,6.44,18.0,600474,664337,,called_strike,12.0,R,R,BAL,NYY,S,,,0.95,2.47,Jose Navas,-0.06,0.05,0.9700000000000002,in,in,r
27,27,27,27,27,92558,FF,20200905,93.3,-0.85,6.38,201.0,600474,664337,,foul,12.0,R,R,BAL,NYY,S,,,0.16,3.8,Jose Navas,-0.05,0.84,0.2999999999999998,in,out,r
28,28,28,28,28,92559,FC,20200905,89.4,-1.03,6.27,208.0,600474,664337,,ball,14.0,R,R,BAL,NYY,B,,,2.18,0.48,Jose Navas,0.041,1.1800000000000002,1.02,out,out,r
29,29,29,29,29,92560,SL,20200905,85.0,2.95,5.41,335.0,609280,643316,field_out,hit_into_play,13.0,R,L,BAL,NYY,X,5.0,ground_ball,-0.31,1.31,Jose Navas,-0.128,0.69,0.1899999999999999,in,out,w
30,30,30,30,30,92561,FF,20200905,92.7,2.89,5.54,143.0,609280,643316,,ball,12.0,R,L,BAL,NYY,B,,,1.46,2.82,Jose Navas,0.021,0.4599999999999999,0.6800000000000002,out,in,r
31,31,31,31,31,92562,CH,20200905,89.4,2.89,5.46,135.0,609280,643316,,ball,14.0,R,L,BAL,NYY,B,,,0.16,0.67,Jose Navas,0.013,0.84,0.83,in,out,r
32,32,32,32,32,92563,SL,20200905,84.7,3.04,5.41,323.0,609280,643316,,called_strike,5.0,R,L,BAL,NYY,S,,,-0.11,2.04,Jose Navas,-0.017,0.89,0.54,in,in,r
33,33,33,33,33,92564,FF,20200905,93.3,2.84,5.56,130.0,596142,643316,strikeout,foul_tip,12.0,R,L,BAL,NYY,S,2.0,,1.13,3.24,Jose Navas,-0.148,0.1299999999999999,0.2599999999999998,out,in,r
34,34,34,34,34,92565,SL,20200905,84.9,2.95,5.37,329.0,596142,643316,,ball,14.0,R,L,BAL,NYY,B,,,0.18,0.81,Jose Navas,0.03,0.8200000000000001,0.69,in,out,r
35,35,35,35,35,92566,SL,20200905,85.3,2.9,5.45,338.0,596142,643316,,foul,14.0,R,L,BAL,NYY,S,,,0.12,1.38,Jose Navas,0.0,0.88,0.1200000000000001,in,out,r
